procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 805812 64515980   3860 187236    0    0     0     0  694 1893  1  1 98  0  0
 0  0 805812 64515980   3860 187236    0    0     0     0   81  659  1  0 99  0  0
 0  0 805812 64515980   3860 187236    0    0     0     8  709 1919  1  1 98  0  0
 0  0 805708 64515224   3860 188400  204    0  1368     0  114  737  0  0 99  0  0
 0  0 805708 64515988   3868 188400    0    0     0    28  715 1937  0  2 97  0  0
 0  0 805708 64511612   3868 188400    0    0     0     0   84  666  1  2 98  0  0
 0  0 805708 64512368   3868 188400    0    0     0     0  683 1862  1  2 97  0  0
 0  0 805708 64512368   3868 188400    0    0     0    16   79  640  1  0 99  0  0
 0  0 805192 64512624   3868 188400  760    0   760     0  840 2200  1  2 95  1  0
 0  0 805192 64512624   3876 188400    0    0     0    16   81  669  0  1 99  0  0
 0  0 805192 64512876   3876 188400    0    0     0     0  709 1908  1  2 98  0  0
 0  0 805192 64512624   3876 188400    0    0     0     0   79  646  0  0 99  0  0
 0  0 805192 64513632   3876 188400    0    0     0     0  723 1961  1  2 97  0  0
 0  0 805192 64513380   3876 188400    0    0     0     4   62  626  0  0 100  0  0
 1  0 805192 64513380   3884 188400    0    0     0    16  183  886  1  1 98  0  0
 0  0 805188 64513380   3884 188400    4    0     4     0  608 1704  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805188 64513380   3884 188400    0    0     0     0   74  650  0  0 99  0  0
 0  0 805188 64513776   3884 188400    0    0     0     0  706 1902  1  1 98  0  0
 0  0 805188 64513884   3884 188400    0    0     0     0   76  640  1  0 99  0  0
 0  0 805188 64512624   3892 188400    0    0     0    24  708 1918  1  2 97  0  0
 0  0 805188 64512624   3892 188400    0    0     0     0   66  623  0  1 99  0  0
 0  0 805188 64512120   3892 188400    0    0     0     0  701 1892  1  1 98  0  0
 0  0 805188 64512120   3892 188400    0    0     0     0   80  666  1  0 99  0  0
 0  0 805188 64511868   3892 188468    0    0    68     0  707 1918  1  1 98  0  0
 0  0 805188 64511616   3900 188468    0    0     0    16   77  659  0  1 99  0  0
 0  0 805188 64512924   3900 188468    0    0     0     4  692 1891  1  2 97  0  0
 0  0 805004 64506624   3940 194884  444    0  6680     0  188 1017  1  0 98  1  0
 0  0 805004 64504608   3940 194664    0    0     0     0  696 1873  1  1 98  0  0
 1  0 805004 64502848   3956 194648    0    0   268     0  118  770  1  0 99  0  0
 0  0 805004 64502092   3964 194916    0    0     0    16  708 1923  1  1 98  0  0
 0  0 805004 64501588   3964 194916    0    0     0     0   78  635  1  1 99  0  0
 0  0 805004 64500580   3964 194916    0    0     0     4  700 1930  1  1 98  0  0
 0  0 805004 64500076   3964 194916    0    0     0     0   85  676  1  0 99  0  0
 1  0 805004 64499320   3964 194916    0    0     0     0  577 1701  1  1 98  0  0
 0  0 805004 64499320   3972 194908    0    0     0    16   75  657  0  1 99  0  0
 0  0 805004 64490880   3972 194916    0    0     0     0  682 1892  1  2 97  0  0
 0  0 805004 64490628   3972 194916    0    0     0     0   64  629  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 805004 64489788   3972 194916    0    0     0     4  439 1383  0  2 98  0  0
 0  0 805004 64489284   3972 194916    0    0     0     0  337 1171  0  1 99  0  0
 1  0 805004 64490040   3980 194916    0    0     0    16   79  670  0  0 99  0  0
 2  0 805004 64489788   3980 194916    0    0     0     0  686 1885  1  1 98  0  0
 0  0 805004 64489788   3980 194916    0    0     0     0   70  630  0  0 99  0  0
 0  0 805004 64491300   3980 194924    0    0     0     0  712 1943  1  2 98  0  0
 0  0 805004 64491300   3980 194924    0    0     0     8   82  671  1  0 99  0  0
 0  0 805004 64491804   3988 194924    0    0     0    28  696 1923  1  1 98  0  0
 0  0 805004 64491552   3988 194924    0    0     0     0   75  646  0  1 99  0  0
 0  0 805004 64491808   3988 194924    0    0     0     0  694 1887  1  1 98  0  0
 0  0 805004 64491560   3988 194924    0    0     0     0   63  616  0  0 99  0  0
 0  0 805004 64493624   3988 194924    0    0     0     0  699 1908  1  2 98  0  0
 0  0 805004 64493120   3996 194924    0    0     0    32   81  680  0  1 99  0  0
 0  0 805004 64493120   3996 194924    0    0     0     0  704 1915  1  2 98  0  0
 0  0 805004 64493120   3996 194924    0    0     0     0   78  650  0  1 99  0  0
 0  0 805004 64493376   3996 194924    0    0     0     0  711 1922  1  2 98  0  0
 0  0 805004 64491344   3996 194924    0    0     0     0   82  666  0  1 99  0  0
 0  0 805000 64493408   4004 194916   32    0    32    24  687 1879  0  1 98  0  0
 0  0 805000 64493408   4004 194924    0    0     0     0   72  647  0  1 99  0  0
 0  0 804992 64492148   4004 194924    0    0     0     0  680 1867  1  1 98  0  0
 0  0 804992 64492148   4004 194924    0    0     0     0   72  656  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804988 64491644   4004 194924    0    0     0     0  695 1911  1  2 98  0  0
 0  0 804988 64491644   4012 194924    0    0     0    16   80  661  0  0 99  0  0
 1  0 804980 64491644   4012 194924   32    0    32     4  169  837  1  1 99  0  0
 1  0 804972 64491392   4012 194924    0    0     0     0  616 1732  1  2 98  0  0
 0  0 804972 64491392   4012 194924    0    0     0     0   79  660  0  1 99  0  0
 2  0 804972 64489108   4012 194924    0    0     0     0  704 1913  1  2 97  0  0
 0  0 804972 64489108   4020 194924    0    0     0    16   83  671  0  1 99  0  0
 0  0 804968 64489996   4020 194924    0    0     0     4  712 1955  0  4 96  0  0
 0  0 804968 64489996   4020 194924    0    0     0     0   78  644  0  0 99  0  0
 1  0 804968 64489744   4020 194924    0    0     0     0  690 1889  0  2 97  0  0
 0  0 804968 64489996   4020 194924    0    0     0     0   69  636  0  1 99  0  0
 0  0 804968 64491508   4028 194928    0    0     0    16  701 1919  1  2 97  0  0
 0  0 804968 64491508   4028 194928    0    0     0     0   71  652  0  1 99  0  0
 0  0 804968 64493060   4028 194928    0    0     0     0  713 1924  0  2 98  0  0
 0  0 804968 64493028   4028 194928    0    0     0     0   80  671  0  1 99  0  0
 1  0 804968 64493312   4028 194928    0    0     0     0  698 1912  1  1 98  0  0
 0  0 804968 64493312   4036 194920    0    0     0    16   77  649  0  1 99  0  0
 0  0 804968 64494032   4036 194928    0    0     0     0  687 1885  1  1 98  0  0
 0  0 804968 64493780   4036 194928    0    0     0     0   69  648  1  0 99  0  0
 0  0 804968 64493816   4036 194928    0    0     0     0  653 1825  0  1 98  0  0
 0  0 804968 64493816   4036 194928    0    0     0     0   70  647  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804968 64493060   4044 194928    0    0     0    16  709 1953  0  2 97  0  0
 0  0 804968 64493312   4044 194928    0    0     0     0   75  641  0  1 99  0  0
 0  0 804968 64491548   4044 194928    0    0     0     0  677 1887  1  1 98  0  0
 0  0 804968 64491296   4044 194928    0    0     0     0   71  648  0  1 99  0  0
 1  0 804968 64490304   4044 194928    0    0     0     0  682 1872  0  1 98  0  0
 0  0 804968 64489800   4052 194928    0    0     0    16   91  706  1  0 99  0  0
 0  0 804968 64489552   4052 194928    0    0     0     0   71  652  1  0 99  0  0
 0  0 804968 64489192   4052 194928    0    0     0     0  596 1706  0  2 98  0  0
 0  0 804968 64489052   4052 194928    0    0     0     0   68  642  0  0 100  0  0
 0  0 804968 64487292   4060 194928    0    0     8     0  716 1957  1  1 98  0  0
 0  0 804968 64487040   4068 194932    0    0     0    16   80  670  1  1 99  0  0
 0  0 804968 64486428   4068 194932    0    0     0     0  705 1908  1  2 98  0  0
 0  0 804968 64486288   4068 194932    0    0     0     0   73  641  0  1 99  0  0
 0  0 804968 64485856   4068 194932    0    0     0     0  698 1907  1  2 98  0  0
 0  0 804968 64485532   4068 194932    0    0     0     0   79  651  1  1 99  0  0
 0  0 804968 64485712   4076 194932    0    0     0    16  707 1940  1  1 98  0  0
 0  0 804968 64484196   4076 194932    0    0     0     0   68  620  0  2 98  0  0
 0  0 804968 64485168   4076 194932    0    0     0     8  690 1913  1  1 98  0  0
 0  0 804968 64485208   4076 194932    0    0     0     0   75  645  1  1 99  0  0
 0  0 804968 64486720   4076 194932    0    0     0     0  705 1931  1  2 98  0  0
 0  0 804968 64486468   4084 194936    0    0     0    28   92  678  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804968 64487440   4084 194936    0    0     0     0  695 1902  0  2 98  0  0
 0  0 804968 64487732   4084 194936    0    0     0    12   80  657  0  1 99  0  0
 0  0 804968 64488488   4084 194936    0    0     0     0  689 1880  0  2 98  0  0
 0  0 804968 64488488   4084 194936    0    0     0     0   75  655  0  1 99  0  0
 0  0 804968 64488668   4092 194936    0    0     0    16  717 1946  1  2 97  0  0
 0  0 804968 64488524   4092 194936    0    0     0     0   76  646  0  0 99  0  0
 0  0 804968 64488524   4092 194936    0    0     0     0  537 1578  0  2 98  0  0
 0  0 804968 64488272   4092 194936    0    0     0     0  229  963  1  1 99  0  0
 0  0 804964 64487772   4092 194936   32    0    32     0   68  649  0  1 99  0  0
 0  0 804964 64487520   4100 194928    0    0     0    16  669 1856  0  2 98  0  0
 0  0 804964 64487268   4100 194936    0    0     0     0   68  646  0  1 99  0  0
 0  0 804964 64487016   4100 194936    0    0     0     0  693 1897  1  2 98  0  0
 0  0 804964 64486764   4100 194936    0    0     0     0   78  660  0  0 99  0  0
 0  0 804964 64486512   4100 194936    0    0     0     0  701 1918  1  1 98  0  0
 0  0 804964 64484480   4108 194936    0    0     0    16   89  689  1  0 99  0  0
 1  0 804964 64486040   4108 194936    0    0     0     0  698 1890  1  1 98  0  0
 0  0 804964 64486040   4108 194936    0    0     0     0   62  621  0  0 99  0  0
 0  0 804964 64485788   4108 194936    0    0     0     0  717 1943  1  2 97  0  0
 0  0 804964 64485788   4108 194936    0    0     0     0   73  637  0  0 99  0  0
 0  0 804964 64485788   4116 194936    0    0     0    16  702 1923  1  1 97  0  0
 0  0 804964 64485536   4116 194936    0    0     0     0   76  644  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804964 64485036   4116 194936    0    0     0     0  698 1919  1  2 98  0  0
 0  0 804964 64484784   4116 194936    0    0     0     0   58  622  0  0 99  0  0
 0  0 804964 64484784   4116 194936    0    0     0     0  684 1881  1  1 98  0  0
 0  0 804964 64482500   4124 194936    0    0     0    16   89  689  0  0 99  0  0
 0  0 804964 64482272   4124 194936    0    0     0     0  713 1935  1  2 96  0  0
 0  0 804956 64482272   4124 194936   16    0    16     0   76  647  1  1 99  0  0
 0  0 804956 64482776   4124 194936    0    0     0     0  707 1921  1  2 98  0  0
 0  0 804956 64483032   4124 194936    0    0     0     0   72  652  1  0 99  0  0
 1  0 804956 64482780   4132 194936    0    0     0    16  115  734  0  1 99  0  0
 0  0 804956 64482780   4132 194936    0    0     0     0  653 1796  0  2 98  0  0
 0  0 804956 64482780   4132 194936    0    0     0     4   75  654  1  0 99  0  0
 0  0 804956 64482672   4132 194936    0    0     0     0  698 1902  1  1 98  0  0
 0  0 804956 64482280   4132 194940    0    0     0     0   74  657  0  1 99  0  0
 0  0 804956 64482244   4140 194940    0    0     0    16  602 1738  1  1 98  0  0
 0  0 804956 64479996   4140 194940    0    0     0     0   83  655  0  1 99  0  0
 0  0 804956 64482312   4140 194940    0    0     0     0  693 1902  0  2 98  0  0
 0  0 804956 64482060   4140 194940    0    0     0     0   73  647  0  1 99  0  0
 0  0 804956 64480800   4140 194940    0    0     0     0  707 1920  1  2 98  0  0
 0  0 804956 64480800   4148 194940    0    0     0    16   88  669  0  1 99  0  0
 0  0 804956 64480296   4148 194940    0    0     0     0  705 1928  1  2 97  0  0
 0  0 804956 64480296   4148 194940    0    0     0     0   76  658  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804956 64480296   4148 194940    0    0     0     0  705 1903  1  1 98  0  0
 0  0 804956 64480296   4148 194940    0    0     0     0   65  618  0  0 99  0  0
 0  0 804956 64479792   4156 194936    0    0     0    16  699 1906  1  1 98  0  0
 0  0 804956 64477760   4156 194940    0    0     0     0   78  655  1  0 99  0  0
 0  0 804904 64477508   4156 194940   32    0    32     0  721 1954  1  2 97  0  0
 0  0 804904 64477260   4156 194940    0    0     0     0   79  661  0  1 99  0  0
 0  0 804904 64477836   4156 194940    0    0     0     0  725 1963  1  1 98  0  0
 0  0 804904 64478016   4164 194940    0    0     0    16   85  670  0  1 99  0  0
 0  0 804888 64478016   4164 194940   28    0    28     0  690 1895  1  1 98  0  0
 2  0 804888 64478268   4164 194940    0    0     0     0   72  638  0  1 99  0  0
 0  0 804888 64478520   4164 194940    0    0     0     0  694 1902  1  2 98  0  0
 0  0 804884 64478520   4164 194940   12    0    12     0   72  663  0  1 99  0  0
 0  0 804884 64478520   4172 194940    0    0     0    16  108  735  1  0 99  0  0
 0  0 804884 64477544   4172 194940    0    0     0     0  695 1885  1  2 97  0  0
 0  0 804880 64477292   4172 194940    0    0     0     0   76  642  0  0 99  0  0
 1  0 804880 64479312   4172 194940    0    0     0     0  696 1887  1  1 98  0  0
 0  0 804880 64479316   4172 194940    0    0     0     0   77  645  0  1 99  0  0
 0  0 804880 64479568   4180 194940    0    0     0    16  717 1912  1  2 97  0  0
 0  0 804880 64479820   4180 194940    0    0     0     0   82  655  1  0 99  0  0
 0  0 804880 64480328   4180 194940    0    0     0     0  650 1816  1  1 98  0  0
 0  0 804880 64480328   4180 194940    0    0     0     0   81  666  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 804880 64480080   4180 194940    0    0     0     0  673 1851  0  2 98  0  0
 0  0 804880 64480332   4188 194932    0    0     0    16   69  639  0  0 99  0  0
 0  0 804880 64479856   4188 194940    0    0     0     0  712 1928  1  1 98  0  0
 0  0 804880 64479856   4188 194940    0    0     0     8   74  646  0  0 99  0  0
 0  0 804880 64480360   4188 194940    0    0     0     0  706 1916  1  2 98  0  0
 0  0 804880 64480112   4188 194940    0    0     0     0   77  647  1  0 99  0  0
 0  0 804880 64482952   4196 194932    0    0     0    28  711 1929  1  1 97  0  0
 0  0 804880 64483204   4196 194940    0    0     0     0   76  642  1  0 99  0  0
 0  0 804880 64483964   4196 194940    0    0     0    12  698 1898  0  2 98  0  0
 0  0 804880 64483716   4196 194940    0    0     0     0   75  636  0  1 99  0  0
 0  0 804880 64483864   4196 194940    0    0     0     0  705 1926  1  1 98  0  0
 0  0 804880 64483972   4204 194940    0    0     0    16   83  670  1  0 99  0  0
 1  0 804880 64484376   4204 194940    0    0     0     0  185  864  0  1 98  0  0
 0  0 804880 64485248   4204 194940    0    0     0     0  602 1712  0  1 99  0  0
 0  0 804880 64485248   4204 194940    0    0     0     0   79  643  0  1 99  0  0
 0  0 804880 64487068   4204 194940    0    0     0     0  693 1877  1  1 98  0  0
 0  0 804880 64487068   4212 194936    0    0     0    16   86  669  0  1 99  0  0
 0  0 804880 64486564   4212 194944    0    0     0     0  696 1906  1  1 98  0  0
 0  0 804880 64486564   4212 194944    0    0     0     0   71  632  0  0 99  0  0
 0  0 804880 64486064   4220 194944    0    0     0    24  669 1879  0  2 98  0  0
 0  0 804880 64486320   4220 194944    0    0     0     0   71  652  0  1 99  0  0
